,name,date_time,lat,lon,temp,temp_min,temp_max,humidity,wind_speed,clouds_pecent
0,Vaitape,1577916293,-16.52,-151.75,300.65,300.65,300.65,79,9.28,100
1,Yellowknife,1577916440,62.45,-114.38,259.15,259.15,259.15,92,2.6,90
2,Balkhash,1577916440,46.84,74.98,266.96,266.96,266.96,95,3.14,100
3,Avarua,1577916440,-21.21,-159.78,299.15,299.15,299.15,74,18.0,99
4,Grafton,1577916442,-29.69,152.93,297.5,296.15,298.15,88,0.65,34
5,Qaanaaq,1577916442,77.48,-69.36,236.05,236.05,236.05,90,2.17,100
6,Whitehorse,1577916442,60.72,-135.06,272.15,272.15,272.15,86,9.3,75
7,Albany,1577916442,42.65,-73.75,273.51,270.37,276.15,51,5.7,75
8,Natal,1577916370,-5.81,-35.21,299.64,299.15,300.15,78,3.6,40
9,Hithadhoo,1577916442,-0.6,73.08,301.17,301.17,301.17,79,5.07,40
10,Hobart,1577916443,-42.88,147.33,289.85,286.48,291.15,39,6.7,75
11,Kiunga,1577916443,-6.12,141.3,295.74,295.74,295.74,99,1.84,100
12,Coahuayana,1577916443,18.62,-100.35,307.35,307.35,307.35,28,1.0,0
13,Ossora,1577916443,59.24,163.07,270.52,270.52,270.52,89,6.34,100
14,Ribeira Grande,1577916443,38.52,-28.7,288.15,288.15,288.15,67,6.2,40
15,Sibu,1577916443,2.29,111.83,298.15,298.15,298.15,94,2.1,75
16,Punta Arenas,1577916444,-53.16,-70.91,293.16,292.04,294.15,37,7.7,96
17,Kapaa,1577916444,22.08,-159.32,299.59,299.15,300.15,57,4.6,1
18,Lata,1577916444,30.78,78.62,260.7,260.7,260.7,81,2.98,100
19,Luganville,1577916444,-15.51,167.18,300.15,300.15,300.15,78,1.0,75
20,Iwaki,1577916444,37.05,140.89,272.95,272.04,273.71,76,0.45,0
21,Ushuaia,1577916246,-54.81,-68.31,293.15,293.15,293.15,32,6.2,75
22,Carnarvon,1577916445,-30.97,22.13,294.58,294.58,294.58,21,3.52,0
23,Henties Bay,1577916445,-22.12,14.28,289.82,289.82,289.82,89,0.89,96
24,Maningrida,1577916445,-12.05,134.23,299.5,299.5,299.5,87,1.24,100
25,Katsuura,1577916445,33.93,134.5,275.16,274.15,276.15,81,4.6,20
26,Faanui,1577916445,-16.48,-151.75,300.65,300.65,300.65,79,9.28,100
27,San Carlos,1577916445,11.12,-84.78,296.48,296.48,296.48,61,1.18,12
28,Jamestown,1577916446,-33.21,138.6,291.14,291.14,291.14,41,4.89,0
29,Mapiri,1577916446,-15.31,-68.22,293.01,293.01,293.01,99,0.36,100
30,Pangai,1577916446,-19.8,-174.35,300.15,300.15,300.15,57,7.2,20
31,Airai,1577916446,-8.93,125.41,293.15,293.15,293.15,92,0.58,100
32,Rikitea,1577916446,-23.12,-134.97,299.08,299.08,299.08,80,5.21,100
33,Seddon,1577916446,-37.81,144.89,291.18,289.26,293.15,59,3.1,20
34,Vaini,1577916447,15.34,74.49,289.95,289.95,289.95,84,0.35,0
35,Ponta do Sol,1577916447,-20.63,-46.0,297.63,297.63,297.63,81,1.13,100
36,Zhezkazgan,1577916447,47.8,67.71,263.96,263.96,263.96,91,3.51,32
37,Itarema,1577916447,-2.92,-39.92,299.73,299.73,299.73,76,3.43,2
38,Ardahan,1577916448,41.11,42.7,261.2,261.2,261.2,95,1.25,0
39,Mahebourg,1577916448,-20.41,57.7,298.44,298.15,298.71,94,1.5,20
40,Castro,1577916448,-42.48,-73.76,295.15,295.15,295.15,53,3.6,49
41,San Patricio,1577916448,-26.98,-56.83,305.44,305.44,305.44,42,3.04,82
42,Karratha,1577916448,-20.74,116.85,302.02,302.02,302.02,73,5.38,75
43,Beloha,1577916448,-25.17,45.06,296.08,296.08,296.08,84,5.29,5
44,Honiara,1577916449,-9.43,159.96,298.19,298.19,298.19,86,0.2,17
45,Atuona,1577916449,-9.8,-139.03,299.85,299.85,299.85,76,7.84,32
46,Mataura,1577916449,-46.19,168.86,284.67,284.67,284.67,97,0.33,100
47,Mauriti,1577916449,-7.39,-38.77,302.15,302.15,302.15,54,2.1,40
48,Reconquista,1577916449,-29.14,-59.64,306.25,306.25,306.25,35,6.08,0
49,Christchurch,1577916423,-43.53,172.64,290.81,288.71,293.15,82,2.6,100
50,Bluff,1577916450,-23.58,149.07,297.8,297.8,297.8,78,5.35,3
51,Tautira,1577916450,-17.73,-149.15,303.15,303.15,303.15,70,7.2,75
52,Lufilufi,1577916450,-13.87,-171.6,298.71,298.71,298.71,94,1.34,11
53,Lodja,1577916450,-3.52,23.6,294.71,294.71,294.71,97,0.54,100
54,Kez,1577916450,57.9,53.72,258.04,258.04,258.04,95,1.7,86
55,Te Anau,1577916451,-45.41,167.72,283.52,283.52,283.52,96,2.56,100
56,Tuktoyaktuk,1577916451,69.44,-133.03,253.15,253.15,253.15,70,5.7,90
57,Sao Filipe,1577916451,14.9,-24.5,295.9,295.9,295.9,66,6.85,100
58,Dingle,1577916451,11.0,122.67,295.67,295.67,295.67,93,4.29,46
59,Secunda,1577916451,-26.52,29.2,289.82,289.82,289.82,86,2.04,67
60,Pathein,1577916451,16.78,94.73,295.04,295.04,295.04,70,1.54,0
61,Sistranda,1577916452,63.73,8.83,281.56,280.37,282.59,89,10.8,75
62,Bethel,1577916452,60.79,-161.76,252.47,252.15,253.15,83,10.3,90
63,Osijek,1577916452,45.55,18.69,271.57,271.15,272.04,92,3.1,0
64,Mildura,1577916452,-34.18,142.16,293.45,292.15,294.82,48,3.6,0
65,Saint George,1577916452,39.45,22.34,279.86,279.26,280.15,72,2.1,75
66,Georgetown,1577916341,6.8,-58.16,301.15,301.15,301.15,74,3.1,20
67,Port Alfred,1577916452,-33.59,26.89,293.15,293.15,293.15,88,1.79,69
68,Hermanus,1577916453,-34.42,19.24,292.47,290.93,293.71,89,8.24,0
69,Rome,1577916330,41.89,12.48,278.3,273.71,282.04,56,2.1,0
70,Butaritari,1577916474,3.07,172.79,302.25,302.25,302.25,78,3.96,100
71,Aketi,1577916423,2.74,23.78,297.38,297.38,297.38,46,0.59,100
72,Fortuna,1577916340,40.6,-124.16,285.67,285.15,286.48,100,3.6,90
73,Nouadhibou,1577916474,20.93,-17.03,292.15,292.15,292.15,45,3.1,100
74,Tasiilaq,1577916475,65.61,-37.64,261.15,261.15,261.15,60,11.3,0
75,Miyako,1577916475,33.63,130.94,276.81,274.26,280.15,80,3.6,40
76,Busselton,1577916475,-33.64,115.35,286.63,285.37,288.15,61,2.13,95
77,Nizwa,1577916475,22.93,57.53,289.45,289.45,289.45,53,0.9,61
78,Rosarito,1577916475,4.91,-75.23,294.32,289.15,297.15,100,1.88,75
79,Bellview,1577916475,32.78,-95.7,284.65,283.15,286.15,53,2.6,90
80,Torbay,1577916475,47.66,-52.73,273.96,273.15,274.82,95,12.3,90
81,Muros,1577916476,42.77,-9.06,277.61,274.26,279.82,100,2.6,62
82,Yamada,1577916476,36.58,137.08,277.26,277.04,277.59,93,2.1,75
83,Arraial do Cabo,1577916476,-22.97,-42.02,299.67,299.15,300.15,78,9.8,100
84,Walvis Bay,1577916476,-22.95,14.51,289.99,289.82,290.15,77,2.1,90
85,Khatanga,1577916476,71.98,102.47,252.45,252.45,252.45,77,2.76,0
86,Port Macquarie,1577916476,-31.43,152.91,298.29,296.15,300.37,78,4.6,90
87,Aklavik,1577916476,68.22,-135.01,251.15,251.15,251.15,76,3.1,90
88,San Cristobal,1577916477,14.68,-86.92,300.4,300.4,300.4,40,2.5,67
89,Mehamn,1577916477,71.03,27.85,269.29,268.15,271.15,74,5.7,75
90,Bukachacha,1577916477,52.99,116.91,245.98,245.98,245.98,87,1.01,0
91,Mosterhamn,1577916478,59.7,5.38,279.99,279.82,280.37,87,7.2,100
92,Ilulissat,1577916478,69.22,-51.1,260.15,260.15,260.15,50,3.1,87
93,Sitka,1577916478,37.17,-99.65,287.04,287.04,287.04,32,3.13,0
94,Cherskiy,1577916478,68.75,161.3,250.02,250.02,250.02,71,4.53,100
95,Pisco,1577916478,-13.71,-76.2,295.56,295.15,295.93,30,7.2,77
96,Nelson Bay,1577916478,-32.72,152.14,293.28,292.59,294.26,88,6.2,90
97,Nome,1577916478,30.04,-94.42,287.34,285.93,289.15,67,1.5,90
98,Clonakilty,1577916479,51.62,-8.87,280.96,280.15,281.48,93,7.7,75
99,Hilo,1577916479,19.71,-155.08,295.67,286.48,300.15,57,4.6,75
100,Naze,1577916479,5.43,7.07,295.15,295.15,295.15,83,1.12,80
101,Netarhat,1577916479,23.45,84.31,284.11,284.11,284.11,76,2.33,100
102,Nikolskoye,1577916479,59.7,30.79,276.0,275.93,276.15,93,6.0,90
103,Saint-Philippe,1577916480,45.36,-73.48,273.2,272.59,273.71,86,5.7,75
104,Katherine,1577916480,-14.47,132.26,302.15,302.15,302.15,70,0.5,100
105,Fairbanks,1577916322,64.84,-147.72,254.63,254.15,255.15,77,4.1,90
106,Cabo San Lucas,1577916480,22.89,-109.91,294.23,292.04,295.93,56,4.6,40
107,Severo-Kurilsk,1577916480,50.68,156.12,261.95,261.95,261.95,73,1.5,30
108,Uchiza,1577916480,-8.46,-76.46,296.63,296.63,296.63,89,0.41,100
109,Shijak,1577916481,41.34,19.57,271.15,271.15,271.15,74,1.0,67
110,Santa Rosa,1577916481,-36.62,-64.29,303.89,303.89,303.89,29,6.95,0
111,Bredasdorp,1577916481,-34.53,20.04,291.51,290.93,292.15,88,1.5,69
112,East London,1577916214,-33.02,27.91,294.62,294.62,294.62,86,6.55,95
113,Chuy,1577916481,-33.69,-53.46,294.46,294.46,294.46,78,6.55,56
114,Swellendam,1577916481,-34.02,20.44,292.15,292.15,292.15,88,1.5,92
115,Lebu,1577916482,8.96,38.73,285.98,285.98,285.98,78,1.06,42
116,Zyryanka,1577916482,65.73,150.89,247.8,247.8,247.8,96,1.75,100
117,Kamen-na-Obi,1577916482,53.79,81.35,269.36,269.36,269.36,91,7.97,100
118,Buy,1577916483,58.48,41.53,265.13,265.13,265.13,96,2.33,31
119,Port Hardy,1577916483,50.7,-127.42,279.15,279.15,279.15,81,4.1,75
120,Sao Joao da Barra,1577916483,-21.64,-41.05,300.15,300.15,300.15,74,10.3,40
121,Mar del Plata,1577916483,-46.43,-67.52,292.1,292.1,292.1,64,5.66,100
122,Sorland,1577916483,67.67,12.69,279.15,279.15,279.15,81,19.5,75
123,Taoudenni,1577916483,22.68,-3.98,285.55,285.55,285.55,18,6.48,0
124,Komsomolskiy,1577916484,67.55,63.78,259.93,259.93,259.93,94,6.41,100
125,Victoria,1577916241,5.28,115.24,299.44,298.71,300.15,83,1.0,75
126,Gravelbourg,1577916484,49.88,-106.56,270.6,270.6,270.6,93,2.87,88
127,Lasa,1577916484,34.92,32.53,282.43,280.93,283.15,87,4.1,75
128,Paraiso,1577916484,-0.03,-51.17,299.15,299.15,299.15,100,1.5,40
129,Portland,1577916436,43.66,-70.25,273.71,271.48,275.93,64,1.5,1
130,Jacareacanga,1577916484,-6.22,-57.76,298.15,298.15,298.15,88,1.0,90
131,Geraldton,1577916485,49.72,-86.95,265.15,265.15,265.15,85,2.6,90
132,Igra,1577916485,57.55,53.1,267.04,267.04,267.04,91,0.89,96
133,Coquimbo,1577916485,-29.95,-71.34,291.15,291.15,291.15,72,5.7,20
134,Santa Cruz,1577916485,-6.22,-36.02,300.55,300.55,300.55,64,4.71,99
135,Jalu,1577916485,29.03,21.55,281.62,281.62,281.62,73,4.71,59
136,Charlottesville,1577916472,38.03,-78.48,281.45,278.71,284.15,31,1.5,1
137,Khandbari,1577916485,27.38,87.21,274.42,274.42,274.42,39,1.85,99
138,Keetmanshoop,1577916485,-26.57,18.15,301.15,301.15,301.15,17,5.7,0
139,Vardo,1577916486,39.62,-77.74,278.79,277.04,280.37,38,5.1,1
140,Tulsipur,1577916486,27.53,82.41,286.69,286.69,286.69,67,0.84,100
141,Dagana,1577916486,16.52,-15.51,296.15,296.15,296.15,28,4.55,98
142,Ubinskoye,1577916486,55.31,79.68,269.77,269.77,269.77,93,6.75,100
143,Perth,1577915993,-31.95,115.86,290.28,288.71,292.04,72,6.7,20
144,Brainerd,1577916487,46.36,-94.2,270.16,269.15,271.15,68,4.1,90
145,Sinnamary,1577916487,5.38,-52.96,299.63,299.63,299.63,73,5.57,18
146,Kirakira,1577916487,-10.46,161.92,299.65,299.65,299.65,76,1.55,2
147,Upernavik,1577916487,72.79,-56.15,246.21,246.21,246.21,91,3.82,99
148,Ust-Tsilma,1577916487,65.44,52.15,259.71,259.71,259.71,95,2.43,60
149,Talnakh,1577916488,69.49,88.39,255.15,255.15,255.15,77,11.0,40
150,Cape Town,1577916482,-33.93,18.42,292.53,292.04,293.15,88,8.7,20
151,Tezu,1577916509,27.93,96.16,287.12,287.12,287.12,54,1.08,100
152,Wangqing,1577916509,43.31,129.76,254.23,254.23,254.23,72,1.19,31
153,Aksarka,1577916509,66.56,67.8,255.39,255.39,255.39,88,4.43,19
154,Hami,1577916509,42.84,93.51,265.61,265.61,265.61,55,2.04,100
155,Oistins,1577916510,13.07,-59.53,299.15,299.15,299.15,74,7.7,40
156,Miandrivazo,1577916510,-19.53,45.46,298.44,298.44,298.44,85,2.57,100
157,Necochea,1577916510,-38.55,-58.74,289.26,289.26,289.26,1,4.02,11
158,Venice,1577916425,27.1,-82.45,295.05,292.59,298.15,52,1.5,1
159,Cayhagan,1577916511,9.67,122.43,298.45,298.45,298.45,78,6.88,57
160,Provideniya,1577916511,64.42,-173.23,242.13,242.13,242.13,89,3.23,0
161,Port Elizabeth,1577916532,39.31,-74.98,277.69,274.82,280.37,59,1.5,1
162,Beroroha,1577916532,-21.68,45.17,297.39,297.39,297.39,90,0.74,21
163,Los Llanos de Aridane,1577916532,28.66,-17.92,290.47,289.82,291.15,45,3.6,100
164,Verkhnyaya Inta,1577916533,65.99,60.32,261.38,261.38,261.38,93,7.14,100
165,Barrow,1577916533,-38.31,-60.23,294.46,294.46,294.46,54,5.6,0
166,Mantua,1577916533,45.16,10.79,275.36,272.59,277.59,86,3.1,0
167,Sinegorsk,1577916533,44.77,38.34,276.48,276.48,276.48,76,0.45,91
168,Sioux Lookout,1577916533,50.1,-91.92,265.15,265.15,265.15,78,3.1,75
169,Zaraza,1577916533,9.35,-65.33,303.19,303.19,303.19,54,2.04,100
170,Taksimo,1577916534,56.36,114.84,244.22,244.22,244.22,87,0.5,18
171,Waipawa,1577916534,-39.94,176.59,294.26,294.26,294.26,62,4.92,78
172,Dikson,1577916534,73.51,80.55,255.86,255.86,255.86,91,11.46,100
173,Jumla,1577916535,29.28,82.18,269.38,269.38,269.38,51,1.0,100
174,Namibe,1577916535,-15.19,12.15,295.81,295.81,295.81,83,3.54,100
175,Ayan,1577916535,38.23,44.7,263.23,263.23,263.23,79,4.46,1
176,Bathsheba,1577916535,13.22,-59.52,299.15,299.15,299.15,74,7.7,40
177,Faya,1577916535,18.39,42.45,287.19,286.15,288.15,71,4.1,0
178,Anloga,1577916535,5.79,0.9,298.15,298.15,298.15,73,1.5,80
179,Luderitz,1577916535,-26.65,15.16,293.15,293.15,293.15,72,7.7,0
180,Lazaro Cardenas,1577916536,28.39,-105.62,286.22,285.15,287.04,34,4.1,75
181,Kuopio,1577916536,62.89,27.68,276.15,276.15,276.15,86,6.2,100
182,Thompson,1577916536,55.74,-97.86,259.15,259.15,259.15,84,3.6,90
183,Todos Santos,1577916536,23.45,-110.23,293.85,292.04,295.93,52,3.6,75
184,Narsaq,1577916537,60.91,-46.05,260.15,260.15,260.15,55,2.1,4
185,Belmonte,1577916537,40.36,-7.35,277.58,273.71,280.37,12,0.45,11
186,Port Augusta,1577916537,-32.49,137.76,296.48,296.48,296.48,38,0.45,0
187,Daru,1577916537,-9.07,143.21,298.63,298.63,298.63,85,0.42,86
188,Bansi,1577916537,27.18,82.93,285.94,285.94,285.94,75,1.09,100
189,Padra,1577916537,22.24,73.09,289.93,289.93,289.93,58,1.9,90
190,Vila Franca do Campo,1577916538,37.72,-25.43,287.15,287.15,287.15,76,5.1,40
191,Hofn,1577916538,64.25,-15.21,277.63,277.63,277.63,89,12.89,100
192,Hemsedal,1577916559,60.86,8.55,275.54,274.26,277.59,77,4.92,100
193,Chokurdakh,1577916559,70.62,147.9,248.01,248.01,248.01,98,1.79,100
194,Puerto Ayora,1577916559,-0.74,-90.35,299.62,297.59,301.15,65,3.6,75
195,Banda Aceh,1577916559,5.56,95.32,294.9,294.9,294.9,79,2.77,35
196,Balugaon,1577916559,19.75,85.21,294.01,294.01,294.01,62,1.8,96
197,Fukue,1577916559,35.03,136.69,278.4,277.59,281.15,61,8.2,75
198,Lorengau,1577916560,-2.02,147.27,301.68,301.68,301.68,77,2.89,100
199,Ada,1577916560,34.77,-96.68,285.45,284.15,287.15,49,7.7,1
200,Takoradi,1577916560,4.89,-1.75,300.81,300.81,300.81,73,3.2,2
201,Santa Cruz del Sur,1577916560,20.71,-78.0,300.65,300.65,300.65,69,2.03,99
202,Kodiak,1577916563,39.95,-94.76,286.13,285.93,286.48,43,9.3,1
203,Chumikan,1577916563,54.72,135.31,253.04,253.04,253.04,66,9.69,100
204,Soe,1577916563,57.91,26.05,276.87,276.48,277.15,80,6.7,90
205,Martapura,1577916564,-3.41,114.85,298.15,298.15,298.15,100,1.0,75
206,Taguatinga,1577916564,-15.83,-48.06,297.1,295.93,298.15,69,1.5,75
207,Port Hedland,1577916564,-20.31,118.58,302.15,302.15,302.15,83,4.1,75
208,Bulolo,1577916564,-7.2,146.64,292.82,292.82,292.82,99,0.62,100
209,Warrnambool,1577916565,-38.38,142.48,287.59,287.59,287.59,96,3.69,1
210,Macapa,1577916565,0.05,-51.07,299.15,299.15,299.15,100,1.5,40
211,Nabire,1577916565,-3.36,135.5,295.4,295.4,295.4,94,0.89,100
212,Lishui,1577916565,28.45,119.91,278.57,278.57,278.57,88,1.22,98
213,Amot,1577916566,59.57,7.99,270.93,270.93,270.93,92,1.75,27
214,Elko,1577916566,40.83,-115.76,276.77,275.93,277.59,80,3.6,90
215,Darhan,1577916566,49.49,105.92,253.45,253.45,253.45,79,1.9,81
216,Praia da Vitoria,1577916566,38.73,-27.07,286.15,286.15,286.15,93,8.27,40
217,Buluang,1577916566,10.47,123.98,300.15,300.15,300.15,78,5.7,75
218,Bilibino,1577916566,68.06,166.44,245.15,245.15,245.15,71,2.35,98
219,Kasongo,1577916566,-4.43,26.67,295.77,295.77,295.77,91,0.76,100
220,Chapleau,1577916567,47.85,-83.4,268.15,268.15,268.15,85,4.1,75
221,Champerico,1577916567,16.38,-93.6,305.15,305.15,305.15,38,4.1,5
222,Kundiawa,1577916567,-6.02,144.97,287.01,287.01,287.01,96,0.1,100
223,Buraydah,1577916567,26.33,43.97,286.15,286.15,286.15,50,3.1,100
224,Vestmannaeyjar,1577916567,63.44,-20.27,276.21,276.21,276.21,65,15.4,100
225,Broome,1577916567,52.47,1.45,277.85,277.04,279.15,86,2.6,0
226,Sedniv,1577916568,51.64,31.56,271.29,271.29,271.29,93,4.61,9
227,Tuatapere,1577916568,-46.13,167.69,286.15,286.15,286.15,79,0.19,100
228,Vryburg,1577916569,-26.96,24.73,295.04,295.04,295.04,66,6.65,68
229,Rovaniemi,1577916569,66.5,25.72,273.15,273.15,273.15,89,7.2,40
230,Iquique,1577916395,-20.22,-70.14,297.15,297.15,297.15,57,3.6,39
231,Kryvyy Rih,1577916570,47.92,33.35,273.15,273.15,273.15,75,6.0,90
232,Viseu,1577916570,40.66,-7.91,278.94,273.71,283.15,78,0.94,7
233,Lindi,1577916570,-10.0,39.71,296.58,296.58,296.58,98,1.84,100
234,Tilichiki,1577916570,60.47,166.1,254.05,254.05,254.05,84,3.97,100
235,Mayumba,1577916570,-3.44,10.65,300.82,300.82,300.82,85,3.02,100
236,Pacifica,1577916570,37.61,-122.49,288.08,285.37,291.15,82,9.33,75
237,Codrington,1577916570,-28.95,153.24,298.07,296.15,299.26,78,2.1,6
238,Teteven,1577916571,42.92,24.26,272.44,270.37,274.15,74,2.1,5
239,Barao de Melgaco,1577916571,-16.19,-55.97,299.15,299.15,299.15,74,2.6,75
240,Kefalos,1577916571,36.75,26.96,282.15,282.15,282.15,76,6.7,40
241,Husavik,1577916572,50.56,-96.99,270.12,269.82,270.37,85,2.18,100
242,Scarborough,1577916519,54.28,-0.41,277.2,276.15,278.71,100,4.1,1
243,Burnie,1577916573,-41.05,145.91,290.93,290.93,290.93,61,1.79,65
244,Mangai,1577916573,-4.07,19.59,296.83,296.83,296.83,84,0.77,100
245,Hirara,1577916573,24.8,125.28,288.15,288.15,288.15,82,2.1,40
246,Santo Domingo,1577916360,18.48,-69.94,299.87,299.15,300.37,88,2.1,75
247,Pasighat,1577916574,28.06,95.33,288.71,288.71,288.71,69,1.3,99
248,Richards Bay,1577916574,-28.77,32.06,298.33,298.33,298.33,84,3.73,100
249,Alice Springs,1577916574,-23.7,133.88,300.15,300.15,300.15,15,2.6,0
250,Buta,1577916574,2.79,24.73,297.15,297.15,297.15,46,0.76,100
251,Souillac,1577916574,45.6,-0.6,281.91,281.15,282.59,100,4.6,90
252,Tura,1577916574,64.27,100.22,247.49,247.49,247.49,96,2.82,86
253,Hasaki,1577916574,35.73,140.83,269.59,268.15,270.93,100,0.5,20
254,Nanortalik,1577916575,60.14,-45.24,269.68,269.68,269.68,57,9.12,0
255,Yar-Sale,1577916575,66.83,70.83,253.71,253.71,253.71,90,4.36,21
256,Pelotas,1577916366,-31.77,-52.34,296.25,295.37,297.15,83,6.2,90
257,Sabya,1577916576,17.15,42.62,300.15,300.15,300.15,78,1.5,20
258,Yerbogachen,1577916576,61.28,108.01,249.75,249.75,249.75,98,2.57,60
259,Corcoran,1577916576,36.1,-119.56,287.32,285.15,289.26,76,2.1,1
260,Nanakuli,1577916577,21.39,-158.15,298.93,297.15,300.15,61,1.5,75
261,Belaya Gora,1577916577,68.54,146.19,243.28,243.28,243.28,97,2.01,100
262,Hay River,1577916577,60.82,-115.79,259.15,259.15,259.15,84,2.1,90
263,Broken Hill,1577916577,-31.97,141.45,293.15,293.15,293.15,30,4.1,1
264,Roald,1577916577,62.58,6.12,279.6,278.15,281.15,81,11.3,75
265,Touros,1577916578,-5.2,-35.46,299.15,299.15,299.15,83,3.1,98
266,Port Lincoln,1577916578,-34.72,135.86,291.15,291.15,291.15,75,4.83,0
267,Sol-Iletsk,1577916578,51.16,55.0,272.73,272.73,272.73,98,6.15,100
268,Saint-Joseph,1577916578,43.56,6.97,277.64,272.59,281.48,93,2.1,0
269,Puro,1577916578,13.13,123.76,298.4,298.4,298.4,87,6.69,90
270,New Norfolk,1577916579,-42.78,147.06,289.61,286.48,291.15,39,6.7,75
271,Tumarbong,1577916579,10.38,119.46,297.67,297.67,297.67,88,2.76,40
272,Tromso,1577916579,69.65,18.96,274.23,272.04,276.15,86,7.2,75
273,Alofi,1577916347,-19.06,-169.92,300.15,300.15,300.15,69,6.2,0
